design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
s713,5.0,total_negative_slack_ns,288.0,0.6354206800460815,1.9662837982177732,2.5207369327545166,-11.170372009277344,0.0,-2.920249938964844,-4.411585330963135,-1.491335153579712,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s820,,total_negative_slack_ns,,0.6816880125944731,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s820,4.0,total_negative_slack_ns,288.0,-0.4232650995254516,1.8476186990737915,2.977932929992676,-6.843706130981445,0.0,-1.6709110736846924,-0.2486088573932647,1.4223021268844604,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s820,4.0,total_negative_slack_ns,288.0,0.7646333575248718,1.0111440420150757,1.211000919342041,-6.843706130981445,0.0,-1.6709110736846924,-2.6695587635040283,-0.9986478090286256,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s832,,total_negative_slack_ns,,-0.0846836914665563,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s832,2.0,total_negative_slack_ns,288.0,-3.432990550994873,4.961692333221436,5.356630325317383,-6.867057800292969,0.0,-1.7138322591781616,3.2478604316711426,4.961692333221436,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s832,2.0,total_negative_slack_ns,288.0,0.7033351063728333,1.1133497953414917,1.3857227563858032,-6.867057800292969,0.0,-1.7138322591781616,-2.716120719909668,-1.0022883415222168,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s838,,total_negative_slack_ns,,0.177435594427617,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s838,5.0,total_negative_slack_ns,288.0,-0.4219182729721069,3.8458545207977295,4.572773456573486,-9.767878532409668,0.0,-2.6199939250946045,-6.440281391143799,-3.820286989212036,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s838,5.0,total_negative_slack_ns,288.0,-0.16000497341156,3.569183349609375,4.130211353302002,-9.767878532409668,0.0,-2.6199939250946045,-2.706864356994629,-0.0868706181645393,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
